xs,ys
-4306907.2207220765,1.2727486623640052e-06
-4306837.213721377,1.2499792068499483e-06
-4306767.206720676,1.2273930478085622e-06
-4306697.199719977,1.204990891171183e-06
-4306627.192719276,1.182773440078117e-06
-4306557.185718576,1.1607413948653337e-06
-4306487.178717877,1.138895453046756e-06
-4306417.171717176,1.1172363092995614e-06
-4306347.164716477,1.0957646554493984e-06
-4306277.157715776,1.0744811804528342e-06
-4306207.150715076,1.053386570384198e-06
-4306137.143714376,1.032481508417793e-06
-4306067.136713676,1.0117666748147256e-06
-4305997.129712976,9.912427469053295e-07
-4305927.122712276,9.709103990760293e-07
-4305857.115711575,9.507703027518059e-07
-4305787.108710876,9.308231263831696e-07
-4305717.101710175,9.110695354287325e-07
-4305647.0947094755,8.915101923422244e-07
-4305577.087708776,8.721457565554557e-07
-4305507.080708075,8.52976884464054e-07
-4305437.073707376,8.340042294131959e-07
-4305367.066706675,8.152284416807822e-07
-4305297.059705975,7.966501684644894e-07
-4305227.052705275,7.78270053864956e-07
-4305157.045704575,7.600887388727444e-07
-4305087.038703875,7.421068613516591e-07
-4305017.031703175,7.243250560258738e-07
-4304947.0247024745,7.067439544633078e-07
-4304877.017701775,6.893641850627448e-07
-4304807.010701074,6.721863730374018e-07
-4304737.003700375,6.552111404021671e-07
-4304666.996699675,6.384391059574066e-07
-4304596.989698974,6.218708852751774e-07
-4304526.982698275,6.055070906854419e-07
-4304456.975697574,5.89348331260084e-07
-4304386.968696875,5.733952128002924e-07
-4304316.961696174,5.57648337820537e-07
-4304246.954695474,5.421083055360537e-07
-4304176.947694774,5.267757118468466e-07
-4304106.940694074,5.116511493252144e-07
-4304036.933693374,4.967352072000729e-07
-4303966.926692674,4.820284713443716e-07
-4303896.919691973,4.675315242595726e-07
-4303826.912691274,4.532449450632339e-07
-4303756.905690573,4.391693094735229e-07
-4303686.8986898735,4.253051897968592e-07
-4303616.891689174,4.116531549128525e-07
-4303546.884688473,3.9821377026101504e-07
-4303476.877687774,3.8498759782764487e-07
-4303406.870687073,3.7197519613086883e-07
-4303336.863686373,3.591771202084842e-07
-4303266.856685673,3.4659392160298334e-07
-4303196.849684973,3.3422614834941395e-07
-4303126.842684273,3.2207434496060705e-07
-4303056.835683573,3.1013905241509606e-07
-4302986.8286828725,2.9842080814244925e-07
-4302916.821682173,2.869201460112899e-07
-4302846.814681472,2.756375963147741e-07
-4302776.807680773,2.6457368575867234e-07
-4302706.800680073,2.5372893744715197e-07
-4302636.793679372,2.431038708701843e-07
-4302566.786678673,2.326990018909532e-07
-4302496.779677972,2.2251484273188222e-07
-4302426.772677273,2.1255190196287306e-07
-4302356.765676572,2.0281068448734845e-07
-4302286.758675872,1.9329169153052384e-07
-4302216.751675172,1.8399542062565124e-07
-4302146.744674472,1.7492236560235685e-07
-4302076.737673772,1.660730165730085e-07
-4302006.730673072,1.5744785992114464e-07
-4301936.723672371,1.4904737828803328e-07
-4301866.716671672,1.408720505611059e-07
-4301796.709670972,1.3292235186082495e-07
-4301726.7026702715,1.251987535286823e-07
-4301656.695669572,1.1770172311524182e-07
-4301586.688668871,1.1043172436719679e-07
-4301516.681668172,1.0338921721604398e-07
-4301446.674667471,9.65746577652019e-08
-4301376.667666771,8.998849827872854e-08
-4301306.660666071,8.363118716865918e-08
-4301236.653665371,7.750316898376818e-08
