x,y
-4.04125565556556E+06,2.41672409625477E-05
-4.04124365436544E+06,2.43449557075471E-05
-4.04123165316532E+06,2.45233141867331E-05
-4.0412196519652E+06,2.47023160096339E-05
-4.04120765076508E+06,2.48819607811679E-05
-4.04119564956496E+06,2.50622481016153E-05
-4.04118364836484E+06,2.5243177566623E-05
-4.04117164716472E+06,2.54247487672042E-05
-4.0411596459646E+06,2.56069612897368E-05
-4.04114764476448E+06,2.57898147159621E-05
-4.04113564356436E+06,2.59733086229839E-05
-4.04112364236424E+06,2.61574425832748E-05
-4.04111164116412E+06,2.63422161646454E-05
-4.041099639964E+06,2.65276289302878E-05
-4.04108763876388E+06,2.67136804387443E-05
-4.04107563756376E+06,2.69003702439151E-05
-4.04106363636364E+06,2.7087697895056E-05
-4.04105163516352E+06,2.72756629367785E-05
-4.0410396339634E+06,2.74642649090481E-05
-4.04102763276328E+06,2.76535033471842E-05
-4.04101563156316E+06,2.78433777818584E-05
-4.04100363036304E+06,2.80338877391018E-05
-4.04099162916292E+06,2.82250327402741E-05
-4.0409796279628E+06,2.84168123021079E-05
-4.04096762676268E+06,2.86092259366773E-05
-4.04095562556256E+06,2.88022731514059E-05
-4.04094362436244E+06,2.89959534490653E-05
-4.04093162316232E+06,2.91902663277742E-05
-4.0409196219622E+06,2.9385211280999E-05
-4.04090762076208E+06,2.9580787797552E-05
-4.04089561956196E+06,2.97769953615911E-05
-4.04088361836184E+06,2.99738334526279E-05
-4.04087161716172E+06,3.01713015454951E-05
-4.0408596159616E+06,3.03693991103932E-05
-4.04084761476148E+06,3.05681256128586E-05
-4.04083561356136E+06,3.07674805137717E-05
-4.04082361236124E+06,3.09674632693555E-05
-4.04081161116112E+06,3.11680733311764E-05
-4.040799609961E+06,3.13693101461428E-05
-4.04078760876088E+06,3.15711731565058E-05
-4.04077560756076E+06,3.1773661799858E-05
-4.04076360636064E+06,3.19767755091424E-05
-4.04075160516052E+06,3.21805137126191E-05
-4.0407396039604E+06,3.2384875833914E-05
-4.04072760276028E+06,3.25898612919858E-05
-4.04071560156016E+06,3.27954695011349E-05
-4.04070360036004E+06,3.30016998710028E-05
-4.04069159915992E+06,3.3208551806572E-05
-4.0406795979598E+06,3.3416024708166E-05
-4.04066759675968E+06,3.36241179714497E-05
-4.04065559555956E+06,3.38328309874371E-05
-4.04064359435944E+06,3.40421631424595E-05
-4.04063159315932E+06,3.42521138182133E-05
-4.0406195919592E+06,3.44626823917291E-05
-4.04060759075908E+06,3.46738682353787E-05
-4.04059558955896E+06,3.48856707168761E-05
-4.04058358835884E+06,3.50980891992772E-05
-4.04057158715872E+06,3.5311123040981E-05
-4.0405595859586E+06,3.55247715957283E-05
-4.04054758475848E+06,3.5739034212604E-05
-4.04053558355836E+06,3.5953910236044E-05
-4.04052358235824E+06,3.61693990058035E-05
-4.04051158115812E+06,3.63854998570067E-05
-4.040499579958E+06,3.66022121201144E-05
-4.04048757875788E+06,3.68195351209326E-05
-4.04047557755776E+06,3.7037468180613E-05
-4.04046357635764E+06,3.72560106156533E-05
-4.04045157515752E+06,3.74751617378988E-05
-4.0404395739574E+06,3.76949208545412E-05
-4.04042757275728E+06,3.79152872681214E-05
-4.04041557155716E+06,3.81362602765368E-05
-4.04040357035704E+06,3.83578391730092E-05
-4.04039156915692E+06,3.85800232461358E-05
-4.0403795679568E+06,3.88028117798567E-05
-4.04036756675668E+06,3.90262040534632E-05
-4.04035556555656E+06,3.92501993415999E-05
-4.04034356435644E+06,3.94747969142642E-05
-4.04033156315632E+06,3.96999960368085E-05
-4.0403195619562E+06,3.99257959699397E-05
-4.04030756075608E+06,4.01521959697218E-05
-4.04029555955596E+06,4.03791952875839E-05
-4.04028355835584E+06,4.06067931702876E-05
-4.04027155715572E+06,4.08349888599801E-05
-4.0402595559556E+06,4.10637815941595E-05
-4.04024755475548E+06,4.12931706056861E-05
-4.04023555355536E+06,4.15231551227825E-05
-4.04022355235524E+06,4.17537343690349E-05
-4.04021155115512E+06,4.19849075633947E-05
-4.040199549955E+06,4.22166739201791E-05
-4.04018754875488E+06,4.24490326490824E-05
-4.04017554755476E+06,4.26819829551399E-05
-4.04016354635464E+06,4.29155240387845E-05
-4.04015154515452E+06,4.31496550958111E-05
-4.0401395439544E+06,4.33843753173879E-05
-4.04012754275428E+06,4.36196838900568E-05
-4.04011554155416E+06,4.38555799957359E-05
-4.04010354035404E+06,4.409206281172E-05
-4.04009153915392E+06,4.43291315106829E-05
-4.0400795379538E+06,4.45667852606783E-05
-4.04006753675368E+06,4.48050232251513E-05
-4.04005553555356E+06,4.50438445629027E-05
-4.04004353435344E+06,4.52832484281455E-05
-4.04003153315332E+06,4.55232339704707E-05
-4.0400195319532E+06,4.57638003348579E-05
-4.04000753075308E+06,4.60049466616762E-05
-4.03999552955296E+06,4.62466720866871E-05
-4.03998352835284E+06,4.64889757410456E-05
-4.03997152715272E+06,4.67318567513025E-05
-4.0399595259526E+06,4.69753142394056E-05
-4.03994752475248E+06,4.72193473227121E-05
-4.03993552355236E+06,4.74639551139511E-05
-4.03992352235224E+06,4.77091367212843E-05
-4.03991152115212E+06,4.79548912482683E-05
-4.039899519952E+06,4.82012177938675E-05
-4.03988751875188E+06,4.84481154524549E-05
-4.03987551755176E+06,4.86955833138155E-05
-4.03986351635164E+06,4.89436204631472E-05
-4.03985151515152E+06,4.91922259810638E-05
-4.0398395139514E+06,4.94413989435965E-05
-4.03982751275128E+06,4.96911384222066E-05
-4.03981551155116E+06,4.99414434837483E-05
-4.03980351035104E+06,5.01923131905296E-05
-4.03979150915092E+06,5.0443746600275E-05
-4.0397795079508E+06,5.06957427661389E-05
-4.03976750675068E+06,5.09483007367064E-05
