x,y
-4.696820772195325233e+00,2.320120359599876398e-05
-4.690787604857886706e+00,2.363606289173858215e-05
-4.684754437520449066e+00,2.407908128854017692e-05
-4.678721270183011427e+00,2.453032441082302786e-05
-4.672688102845573788e+00,2.498998889304630461e-05
-4.666654935508136148e+00,2.545820739789688347e-05
-4.660621768170698509e+00,2.593513777374798493e-05
-4.654588600833260870e+00,2.642094075410266800e-05
-4.648555433495822342e+00,2.691578000933309960e-05
-4.642522266158384703e+00,2.741982219940471339e-05
-4.636489098820947063e+00,2.793323702758666033e-05
-4.630455931483509424e+00,2.845620112721728760e-05
-4.624422764146071785e+00,2.898888279709648948e-05
-4.618389596808633257e+00,2.953146503490451777e-05
-4.612356429471195618e+00,3.008413027364416570e-05
-4.606323262133757979e+00,3.064706619367846122e-05
-4.600290094796320339e+00,3.122045817638562131e-05
-4.594256927458882700e+00,3.180450066559621669e-05
-4.588223760121444172e+00,3.239931957668733064e-05
-4.582190592784006533e+00,3.300525322071363023e-05
-4.576157425446568894e+00,3.362243641153163197e-05
-4.570124258109131254e+00,3.425107616559211119e-05
-4.564091090771693615e+00,3.489138264474573155e-05
-4.558057923434255976e+00,3.554357169608240308e-05
-4.552024756096818336e+00,3.620784859293100534e-05
-4.545991588759379809e+00,3.688446024077982131e-05
-4.539958421421942170e+00,3.757361082833982074e-05
-4.533925254084504530e+00,3.827556264395215571e-05
-4.527892086747066891e+00,3.899051892070437108e-05
-4.521858919409629252e+00,3.971873147889056936e-05
-4.515825752072190724e+00,4.046042557730701269e-05
-4.509792584734753085e+00,4.121588810577361204e-05
-4.503759417397315445e+00,4.198533143714538703e-05
-4.497726250059877806e+00,4.276903775946062100e-05
-4.491693082722440167e+00,4.356725998344645817e-05
-4.485659915385001639e+00,4.438027832697638043e-05
-4.479626748047564000e+00,4.520833058927361235e-05
-4.473593580710126361e+00,4.605173980482864796e-05
-4.467560413372688721e+00,4.691074230565336998e-05
-4.461527246035251082e+00,4.778564251801050046e-05
-4.455494078697812554e+00,4.867673187411860025e-05
-4.449460911360375803e+00,4.958430113890754357e-05
-4.443427744022937276e+00,5.050865162768036792e-05
-4.437394576685499636e+00,5.145010933363669818e-05
-4.431361409348061997e+00,5.240890103605473838e-05
-4.425328242010624358e+00,5.338548771459318310e-05
-4.419295074673186718e+00,5.438032449009632351e-05
-4.413261907335748191e+00,5.539335045490651903e-05
-4.407228739998310552e+00,5.642542704397830711e-05
-4.401195572660872912e+00,5.747623232501076812e-05
-4.395162405323435273e+00,5.854611785147088312e-05
-4.389129237985997634e+00,5.963605686135932653e-05
-4.383096070648559106e+00,6.074616440994149612e-05
-4.377062903311121467e+00,6.187660316249655361e-05
-4.371029735973683827e+00,6.302794966675924438e-05
-4.364996568636246188e+00,6.420069138377293438e-05
-4.358963401298808549e+00,6.539504462187563198e-05
-4.352930233961370021e+00,6.661137808070067483e-05
-4.346897066623933270e+00,6.785019862607962317e-05
-4.340863899286494743e+00,6.911186437040505446e-05
-4.334830731949057103e+00,7.039679227239185172e-05
-4.328797564611619464e+00,7.170540680341112589e-05
-4.322764397274181825e+00,7.303814008064647852e-05
-4.316731229936744185e+00,7.439543200256172931e-05
-4.310698062599305658e+00,7.577773038671713397e-05
-4.304664895261868018e+00,7.718548040387755412e-05
-4.298631727924430379e+00,7.861921015767233886e-05
-4.292598560586992740e+00,8.007929406738240042e-05
-4.286565393249555100e+00,8.156625770470895664e-05
-4.280532225912116573e+00,8.308059062973069484e-05
-4.274499058574678934e+00,8.462278367033544289e-05
-4.268465891237241294e+00,8.619335862689683520e-05
-4.262432723899803655e+00,8.779303834070858298e-05
-4.256399556562366016e+00,8.942192447914426210e-05
-4.250366389224927488e+00,9.108076273184212445e-05
-4.244333221887490737e+00,9.277009782209730000e-05
-4.238300054550052209e+00,9.449048424372199638e-05
-4.232266887212614570e+00,9.624248643319677330e-05
-4.226233719875176931e+00,9.802668066985861144e-05
-4.220200552537739291e+00,9.984366427691952165e-05
-4.214167385200301652e+00,1.016940036285460779e-04
-4.208134217862863125e+00,1.035783195422551134e-04
