Energy (MHz),Magnetic Field (G)
-0.8318579953351305,218.9055183946488
-0.8163358253297236,218.9759197324415
-0.8008410776852474,219.0463210702341
-0.7853757453471819,219.1167224080268
-0.7699418789309227,219.1871237458194
-0.7545415884601341,219.257525083612
-0.7391770451663777,219.3279264214047
-0.7238504833526946,219.3983277591973
-0.7085642023237607,219.46872909699
-0.6933205683855911,219.5391304347826
-0.6781220169177778,219.6095317725753
-0.6629710545214644,219.6799331103679
-0.647870261246369,219.7503344481605
-0.6328222929004804,219.8207357859532
-0.6178298834460344,219.8911371237458
-0.6028958474857692,219.9615384615385
-0.588023082843571,220.0319397993311
-0.573214573243875,220.1023411371237
-0.5584733910944252,220.1727424749164
-0.5438027003772531,220.243143812709
-0.529205759653029,220.3135451505017
-0.5146859251841605,220.3839464882943
-0.5002466541824858,220.4543478260869
-0.485891508187503,220.5247491638796
-0.4716241565816555,220.5951505016722
-0.4574483802494458,220.6655518394649
-0.4433680753875885,220.7359531772575
-0.4293872574738597,220.8063545150501
-0.4155100654027012,220.8767558528428
-0.4017407657962754,220.9471571906354
-0.3880837574999866,221.0175585284281
-0.3745435762722417,221.0879598662207
-0.3611248996787332,221.1583612040134
-0.3478325522022049,221.228762541806
-0.3346715105793537,221.2991638795987
-0.3216469093772906,221.3695652173913
-0.3087640468227418,221.4399665551839
-0.2960283908981579,221.5103678929766
-0.2834455857196416,221.5807692307692
-0.2710214582128009,221.6511705685619
-0.2587620251036027,221.7215719063545
-0.246673500242501,221.7919732441472
-0.2347623022813796,221.8623745819398
-0.2230350627241652,221.9327759197324
-0.2114986343735335,222.0031772575251
-0.2001601001975508,222.0735785953177
-0.1890267826419629,222.1439799331104
-0.1781062534156024,222.214381270903
-0.1674063437784185,222.2847826086957
-0.1569351553637982,222.3551839464883
-0.1467010715692026,222.4255852842809
-0.1367127695516996,222.4959866220736
-0.1269792328677152,222.5663879598662
-0.1175097647994226,222.6367892976589
-0.1083140024133196,222.7071906354515
-0.09940193140025082,222.7775919732441
-0.09078390175485009,222.8479933110368
-0.08247064432649884,222.9183946488294
-0.07447328835275888,222.9887959866221
-0.0668033800008464,223.0591973244147
-0.05947290199715814,223.1295986622073
-0.05249429443267604,223.2
